LineTotal,ProductID,ProductName,SubcategoryName,CategoryName,OrderDate
140453.39,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2014-05-01
139722.23,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2012-07-31
139405.83,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2013-06-30
139199.40,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2012-06-30
138727.13,966,"Touring-1000 Blue, 46",Touring Bikes,Bikes,2013-06-30
137322.43,954,"Touring-1000 Yellow, 46",Touring Bikes,Bikes,2013-10-30
136338.93,789,"Road-250 Red, 44",Road Bikes,Bikes,2012-09-30
136313.15,775,"Mountain-100 Black, 38",Mountain Bikes,Bikes,2011-07-01
136060.12,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-03-30
135462.36,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2013-07-31
134639.60,773,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,2011-10-01
134591.17,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2013-10-30
134461.55,966,"Touring-1000 Blue, 46",Touring Bikes,Bikes,2014-05-01
133895.58,790,"Road-250 Red, 48",Road Bikes,Bikes,2012-06-30
133813.71,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2012-07-31
133649.60,776,"Mountain-100 Black, 42",Mountain Bikes,Bikes,2011-10-31
132825.00,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2013-06-30
132599.61,772,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,2012-01-01
132409.31,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2013-09-30
131785.38,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2012-10-30
131022.27,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2012-07-31
130499.44,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2012-09-30
130474.89,789,"Road-250 Red, 44",Road Bikes,Bikes,2013-03-30
130257.73,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2013-07-31
129100.51,789,"Road-250 Red, 44",Road Bikes,Bikes,2012-06-30
128437.48,954,"Touring-1000 Yellow, 46",Touring Bikes,Bikes,2014-03-31
128002.22,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2013-05-30
127911.08,957,"Touring-1000 Yellow, 60",Touring Bikes,Bikes,2014-01-29
127911.08,966,"Touring-1000 Blue, 46",Touring Bikes,Bikes,2013-07-31
127574.62,775,"Mountain-100 Black, 38",Mountain Bikes,Bikes,2011-10-31
127453.91,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2012-10-30
126832.52,969,"Touring-1000 Blue, 60",Touring Bikes,Bikes,2013-09-30
126769.51,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-06-30
126480.64,957,"Touring-1000 Yellow, 60",Touring Bikes,Bikes,2013-09-30
125922.00,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2012-12-31
125549.63,777,"Mountain-100 Black, 44",Mountain Bikes,Bikes,2011-07-01
124874.63,777,"Mountain-100 Black, 44",Mountain Bikes,Bikes,2011-10-31
124847.46,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2013-12-31
124439.63,774,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,2012-03-30
123666.60,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2014-03-31
123524.63,777,"Mountain-100 Black, 44",Mountain Bikes,Bikes,2012-01-01
123151.68,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2014-03-31
122894.76,966,"Touring-1000 Blue, 46",Touring Bikes,Bikes,2013-09-30
122541.20,966,"Touring-1000 Blue, 46",Touring Bikes,Bikes,2013-10-30
122399.64,773,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,2012-01-01
121499.64,777,"Mountain-100 Black, 44",Mountain Bikes,Bikes,2012-01-29
121110.36,773,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,2011-10-31
120359.65,771,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,2012-01-01
120157.13,969,"Touring-1000 Blue, 60",Touring Bikes,Bikes,2014-01-29
119798.48,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2013-07-31
119680.31,969,"Touring-1000 Blue, 60",Touring Bikes,Bikes,2014-03-31
119474.65,778,"Mountain-100 Black, 48",Mountain Bikes,Bikes,2011-07-01
119247.49,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2014-05-01
118928.22,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-07-31
117897.98,957,"Touring-1000 Yellow, 60",Touring Bikes,Bikes,2014-03-31
117449.65,776,"Mountain-100 Black, 42",Mountain Bikes,Bikes,2012-01-01
117421.17,957,"Touring-1000 Yellow, 60",Touring Bikes,Bikes,2013-10-30
117219.98,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2012-10-30
117049.06,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2013-06-30
116798.60,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2013-04-30
115424.66,775,"Mountain-100 Black, 38",Mountain Bikes,Bikes,2012-01-29
115424.66,776,"Mountain-100 Black, 42",Mountain Bikes,Bikes,2012-01-29
115220.29,753,"Road-150 Red, 56",Road Bikes,Bikes,2012-03-30
115186.50,793,"Road-250 Black, 44",Road Bikes,Bikes,2012-06-30
115170.93,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2013-03-30
115071.50,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2013-06-30
114435.36,969,"Touring-1000 Blue, 60",Touring Bikes,Bikes,2014-05-01
113860.11,791,"Road-250 Red, 52",Road Bikes,Bikes,2012-06-30
113860.11,791,"Road-250 Red, 52",Road Bikes,Bikes,2012-09-30
113556.88,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2012-09-30
113399.66,778,"Mountain-100 Black, 48",Mountain Bikes,Bikes,2011-10-31
112950.39,773,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,2011-07-01
112873.08,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2014-03-31
112735.51,772,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,2011-07-01
112568.63,794,"Road-250 Black, 48",Road Bikes,Bikes,2012-06-30
112199.67,774,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,2011-10-31
112051.29,954,"Touring-1000 Yellow, 46",Touring Bikes,Bikes,2014-05-01
111880.76,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2012-10-30
111856.66,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2012-09-30
111798.46,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2013-09-30
111563.34,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2014-01-29
111259.69,793,"Road-250 Black, 44",Road Bikes,Bikes,2013-03-30
110653.82,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2013-05-30
110476.41,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2014-03-01
110439.42,793,"Road-250 Black, 44",Road Bikes,Bikes,2013-06-30
110159.68,771,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,2012-01-29
109921.04,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2013-10-30
109361.78,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2014-03-31
109359.37,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2014-05-01
108484.74,790,"Road-250 Red, 48",Road Bikes,Bikes,2012-12-31
108204.06,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2013-07-31
108176.53,777,"Mountain-100 Black, 44",Mountain Bikes,Bikes,2011-08-01
108119.68,772,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,2012-01-29
107162.37,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2013-09-30
106806.34,957,"Touring-1000 Yellow, 60",Touring Bikes,Bikes,2013-06-30
106632.45,753,"Road-150 Red, 56",Road Bikes,Bikes,2011-10-01
106530.06,789,"Road-250 Red, 44",Road Bikes,Bikes,2012-12-31
106303.80,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2013-12-31
106079.69,771,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,2011-08-01
105902.30,969,"Touring-1000 Blue, 60",Touring Bikes,Bikes,2013-12-31
105852.71,954,"Touring-1000 Yellow, 46",Touring Bikes,Bikes,2014-01-29
105733.47,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2013-02-28
105552.72,790,"Road-250 Red, 48",Road Bikes,Bikes,2013-03-30
105021.20,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2012-07-31
104863.55,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2013-10-30
104094.19,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2012-05-30
104039.69,774,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,2012-01-01
103067.40,957,"Touring-1000 Yellow, 60",Touring Bikes,Bikes,2013-08-30
102815.55,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2013-10-30
102097.13,793,"Road-250 Black, 44",Road Bikes,Bikes,2012-12-31
102017.81,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-12-31
101694.18,789,"Road-250 Red, 44",Road Bikes,Bikes,2012-05-30
101660.81,795,"Road-250 Black, 52",Road Bikes,Bikes,2013-03-30
101225.45,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2012-06-30
101038.81,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2014-03-01
100907.21,749,"Road-150 Red, 62",Road Bikes,Bikes,2012-03-30
100714.08,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2013-03-30
100687.57,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2014-05-01
100223.57,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2013-07-31
100061.56,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-08-30
100038.61,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2012-05-30
99959.71,772,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,2011-08-01
99759.57,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2013-09-30
99678.01,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2013-12-31
99586.17,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2012-09-30
99486.97,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2013-12-31
99428.14,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2013-04-30
99391.64,969,"Touring-1000 Blue, 60",Touring Bikes,Bikes,2014-03-01
99224.71,775,"Mountain-100 Black, 38",Mountain Bikes,Bikes,2011-08-01
99200.01,790,"Road-250 Red, 48",Road Bikes,Bikes,2012-09-30
99176.35,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-04-30
98997.62,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2013-12-31
98831.57,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2013-10-30
98599.58,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2012-12-31
98367.58,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2013-07-31
98170.31,793,"Road-250 Black, 44",Road Bikes,Bikes,2012-09-30
98170.31,794,"Road-250 Black, 48",Road Bikes,Bikes,2013-03-30
97919.71,771,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,2011-10-31
97919.71,773,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,2011-08-01
97296.15,789,"Road-250 Red, 44",Road Bikes,Bikes,2012-07-31
95362.80,966,"Touring-1000 Blue, 46",Touring Bikes,Bikes,2014-01-29
95290.65,793,"Road-250 Black, 44",Road Bikes,Bikes,2013-07-31
95241.16,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2014-03-31
95012.59,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2013-06-30
94553.59,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2014-05-01
94243.50,794,"Road-250 Black, 48",Road Bikes,Bikes,2012-09-30
94042.45,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2012-12-31
94042.45,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2012-12-31
93303.38,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2014-01-29
92978.73,957,"Touring-1000 Yellow, 60",Touring Bikes,Bikes,2013-12-31
92799.60,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2013-02-28
92701.23,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2013-12-31
92501.92,966,"Touring-1000 Blue, 46",Touring Bikes,Bikes,2013-12-31
92258.60,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2014-01-29
91871.60,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2013-08-30
91869.96,794,"Road-250 Black, 48",Road Bikes,Bikes,2013-09-30
91799.73,772,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,2011-10-31
91349.00,793,"Road-250 Black, 44",Road Bikes,Bikes,2012-07-31
91340.60,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2013-12-31
91251.01,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2012-05-30
91142.47,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2013-03-30
90943.61,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2013-10-30
90943.61,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2014-01-29
90892.62,790,"Road-250 Red, 48",Road Bikes,Bikes,2012-05-30
90881.60,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2014-03-31
90313.90,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2012-05-30
90172.40,753,"Road-150 Red, 56",Road Bikes,Bikes,2012-01-01
90117.85,967,"Touring-1000 Blue, 50",Touring Bikes,Bikes,2013-06-30
89759.74,773,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,2012-01-29
89641.03,955,"Touring-1000 Yellow, 50",Touring Bikes,Bikes,2013-10-30
89489.08,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2013-08-30
89426.61,794,"Road-250 Black, 48",Road Bikes,Bikes,2013-06-30
89340.68,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2012-05-30
89340.68,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2013-01-28
88571.44,794,"Road-250 Black, 48",Road Bikes,Bikes,2012-12-31
88521.04,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2012-12-31
88242.48,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2012-10-30
88025.44,749,"Road-150 Red, 62",Road Bikes,Bikes,2011-10-01
87960.60,791,"Road-250 Red, 52",Road Bikes,Bikes,2013-03-30
87752.71,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2013-11-30
87133.26,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2013-05-30
87126.07,976,"Road-350-W Yellow, 48",Road Bikes,Bikes,2013-08-30
87074.74,778,"Mountain-100 Black, 48",Mountain Bikes,Bikes,2011-08-01
86826.19,795,"Road-250 Black, 52",Road Bikes,Bikes,2012-09-30
86435.25,793,"Road-250 Black, 44",Road Bikes,Bikes,2012-05-30
86291.62,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2013-08-30
86005.92,793,"Road-250 Black, 44",Road Bikes,Bikes,2013-12-31
85880.36,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2014-03-01
85756.77,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2012-08-30
85679.75,774,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,2012-01-29
85373.63,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2013-05-30
85162.83,753,"Road-150 Red, 56",Road Bikes,Bikes,2011-07-01
85028.58,794,"Road-250 Black, 48",Road Bikes,Bikes,2013-12-31
84513.92,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2012-05-30
84503.99,972,"Touring-2000 Blue, 54",Touring Bikes,Bikes,2013-06-30
84396.08,955,"Touring-1000 Yellow, 50",Touring Bikes,Bikes,2014-05-01
83996.63,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-05-30
83919.26,966,"Touring-1000 Blue, 46",Touring Bikes,Bikes,2014-03-31
83348.51,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2014-05-01
83204.04,954,"Touring-1000 Yellow, 46",Touring Bikes,Bikes,2013-08-30
83013.69,794,"Road-250 Black, 48",Road Bikes,Bikes,2012-07-31
82965.64,954,"Touring-1000 Yellow, 46",Touring Bikes,Bikes,2013-12-31
82373.75,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-02-28
82349.76,778,"Mountain-100 Black, 48",Mountain Bikes,Bikes,2012-01-29
81607.89,793,"Road-250 Black, 44",Road Bikes,Bikes,2014-03-31
81599.76,774,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,2011-07-01
81321.22,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2014-03-01
81242.65,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2014-01-29
81177.25,953,"Touring-2000 Blue, 60",Touring Bikes,Bikes,2013-07-31
81119.22,793,"Road-250 Black, 44",Road Bikes,Bikes,2014-01-29
80630.55,795,"Road-250 Black, 52",Road Bikes,Bikes,2013-06-30
79946.53,973,"Road-350-W Yellow, 40",Road Bikes,Bikes,2013-11-30
79542.52,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2013-01-28
79154.94,966,"Touring-1000 Blue, 46",Touring Bikes,Bikes,2013-05-30
79086.88,793,"Road-250 Black, 44",Road Bikes,Bikes,2012-08-30
78974.77,776,"Mountain-100 Black, 42",Mountain Bikes,Bikes,2011-08-01
78579.00,770,"Road-650 Black, 52",Road Bikes,Bikes,2012-06-30
78315.23,794,"Road-250 Black, 48",Road Bikes,Bikes,2013-05-30
78299.66,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2013-02-28
77951.66,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2014-01-29
77885.38,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2012-08-30
77698.53,793,"Road-250 Black, 44",Road Bikes,Bikes,2013-09-30
77655.12,969,"Touring-1000 Blue, 60",Touring Bikes,Bikes,2013-05-30
77455.91,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2013-04-30
77243.87,954,"Touring-1000 Yellow, 46",Touring Bikes,Bikes,2013-09-30
77209.86,793,"Road-250 Black, 44",Road Bikes,Bikes,2013-05-30
77053.14,957,"Touring-1000 Yellow, 60",Touring Bikes,Bikes,2013-07-31
76232.52,794,"Road-250 Black, 48",Road Bikes,Bikes,2013-07-31
76232.52,789,"Road-250 Red, 44",Road Bikes,Bikes,2012-08-30
76226.45,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-01-28
76107.08,758,"Road-450 Red, 52",Road Bikes,Bikes,2011-10-01
76101.87,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2014-03-01
76095.67,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2013-09-30
75918.38,795,"Road-250 Black, 52",Road Bikes,Bikes,2012-07-31
75816.63,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2012-08-30
75813.43,967,"Touring-1000 Blue, 50",Touring Bikes,Bikes,2014-05-01
75813.43,967,"Touring-1000 Blue, 50",Touring Bikes,Bikes,2013-09-30
75734.67,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2013-09-30
75167.68,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2014-05-01
74996.99,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2012-08-30
74984.72,966,"Touring-1000 Blue, 46",Touring Bikes,Bikes,2014-03-01
74907.35,974,"Road-350-W Yellow, 42",Road Bikes,Bikes,2013-05-30
74766.51,793,"Road-250 Black, 44",Road Bikes,Bikes,2013-10-30
74764.44,954,"Touring-1000 Yellow, 46",Touring Bikes,Bikes,2013-07-31
74703.68,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2014-01-29
74609.44,795,"Road-250 Black, 52",Road Bikes,Bikes,2012-06-30
74571.11,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2013-02-28
74382.98,967,"Touring-1000 Blue, 50",Touring Bikes,Bikes,2013-07-31
74239.68,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2014-03-01
74078.68,770,"Road-650 Black, 52",Road Bikes,Bikes,2012-09-30
73917.20,790,"Road-250 Red, 48",Road Bikes,Bikes,2012-07-31
73767.53,782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,2012-11-30
73767.53,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2013-03-30
73439.78,774,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,2011-08-01
73328.26,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2013-01-28
72952.54,955,"Touring-1000 Yellow, 50",Touring Bikes,Bikes,2014-01-29
72811.83,791,"Road-250 Red, 52",Road Bikes,Bikes,2012-12-31
72811.83,789,"Road-250 Red, 44",Road Bikes,Bikes,2013-02-28
72811.83,794,"Road-250 Black, 48",Road Bikes,Bikes,2014-05-01
71671.12,779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,2012-11-30
71603.69,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2013-08-30
71441.58,974,"Road-350-W Yellow, 42",Road Bikes,Bikes,2014-03-31
71279.14,972,"Touring-2000 Blue, 54",Touring Bikes,Bikes,2013-07-31
71134.17,754,"Road-450 Red, 58",Road Bikes,Bikes,2011-10-01
71083.01,974,"Road-350-W Yellow, 42",Road Bikes,Bikes,2014-05-01
70991.69,781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,2013-05-30
70858.31,758,"Road-450 Red, 52",Road Bikes,Bikes,2012-03-30
70849.75,751,"Road-150 Red, 48",Road Bikes,Bikes,2012-03-30
70733.43,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2013-11-30
70645.19,770,"Road-650 Black, 52",Road Bikes,Bikes,2013-03-30
70368.48,795,"Road-250 Black, 52",Road Bikes,Bikes,2013-09-30
70368.48,790,"Road-250 Red, 48",Road Bikes,Bikes,2012-10-30
70181.06,969,"Touring-1000 Blue, 60",Touring Bikes,Bikes,2013-08-30
70079.16,783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,2012-11-30
70079.16,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2012-10-30
70079.16,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2013-02-28
70008.21,784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,2014-03-01
69975.36,972,"Touring-2000 Blue, 54",Touring Bikes,Bikes,2014-05-01
69924.31,793,"Road-250 Black, 44",Road Bikes,Bikes,2012-10-30
69614.84,967,"Touring-1000 Blue, 50",Touring Bikes,Bikes,2013-10-30
69614.84,967,"Touring-1000 Blue, 50",Touring Bikes,Bikes,2014-01-29
69391.14,792,"Road-250 Red, 58",Road Bikes,Bikes,2013-09-30
69108.73,758,"Road-450 Red, 52",Road Bikes,Bikes,2012-01-01
68960.43,760,"Road-650 Red, 60",Road Bikes,Bikes,2012-06-30
68468.93,974,"Road-350-W Yellow, 42",Road Bikes,Bikes,2013-07-31
68413.80,794,"Road-250 Black, 48",Road Bikes,Bikes,2014-03-31
68379.80,974,"Road-350-W Yellow, 42",Road Bikes,Bikes,2013-08-30
68207.71,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2013-08-30
67942.57,780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,2013-04-30
67925.13,790,"Road-250 Red, 48",Road Bikes,Bikes,2013-04-30
67519.89,770,"Road-650 Black, 52",Road Bikes,Bikes,2012-05-30
67436.46,795,"Road-250 Black, 52",Road Bikes,Bikes,2014-03-31
67436.46,789,"Road-250 Red, 44",Road Bikes,Bikes,2013-01-28
